Nombre, Dificultad, Filas, Columnas, Minas, CeldasDestapadas, Tiempo, Ganado, Fecha
bryan,Principiante,8,8,10,28,1.40719e+14,NO,2025-07-05 00:28:25
tairon,Principiante,8,8,10,1,1.40724e+14,NO,2025-07-05 01:58:42
